# [l(l+1)/2pi] C_l's for tensor mode (units: [microK]^2)
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  136       2.011126775191e-02       8.278321053960e-05       4.139306816406e-05      -9.299168886378e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  137       1.902469920961e-02       8.183152911188e-05       4.063944060970e-05      -8.893358254902e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  138       1.798745260720e-02       8.086174467533e-05       3.988792044400e-05      -8.493495149439e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  139       1.699840293720e-02       7.987476971675e-05       3.913913466211e-05      -8.099831152890e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  140       1.605659135742e-02       7.887150862344e-05       3.839369193454e-05      -7.712608514434e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  141       1.516096559076e-02       7.785287978311e-05       3.765218824508e-05      -7.332056005887e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  142       1.431037133244e-02       7.681981570577e-05       3.691520669261e-05      -6.958388581183e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  143       1.350380996866e-02       7.577323957141e-05       3.618331140486e-05      -6.591811291592e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  144       1.274019885421e-02       7.471408629117e-05       3.545705188192e-05      -6.232514838897e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  145       1.201836303772e-02       7.364330279670e-05       3.473696274903e-05      -5.880675438969e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  146       1.133727160498e-02       7.256182631149e-05       3.402355893324e-05      -5.536459683174e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
